name,url,price,revenue,profit,description,source,category
Amazing Shower Accessory Business – 131% Earnings Increase YOY,https://quietlight.com/ecommerce-businesses-for-sale/,"$399,000","$1,705,771","$217,210",,QuietLight,Amazon FBA
10 Year Old Retro Mailbox Business | Design Patented Customizable Products | 35% Net Margins,https://quietlight.com/ecommerce-businesses-for-sale/,"$389,000","$462,172","$163,111",,QuietLight,Amazon FBA
Hobby Horse/Equine Business with 85% Gross Margins | 55% SDE Margins | 30% YoY Growth,https://quietlight.com/ecommerce-businesses-for-sale/,"$385,000","$185,500","$102,126",,QuietLight,Amazon FBA
Dessert Baking Ecomm Business | 86% Subscription Revenue | Made in the U.S.A.,https://quietlight.com/ecommerce-businesses-for-sale/,"$380,000","$307,219","$116,105",,QuietLight,Amazon FBA
4-Year-Old Beauty Supplement Brand | 130% YoY SDE Growth | 4.52-Star Rating,https://quietlight.com/ecommerce-businesses-for-sale/,"$379,000","$1,149,753","$123,414",,QuietLight,Amazon FBA
Ultra-Premium Performance Bag Business w/ High Margins,https://quietlight.com/ecommerce-businesses-for-sale/,"$350,000","$203,313","$108,991",,QuietLight,Amazon FBA
Established 5 Year Old Lifestyle Business Focused On Wooden Baby Products,https://quietlight.com/ecommerce-businesses-for-sale/,"$326,000","$413,381","$112,475",,QuietLight,Amazon FBA
7-Year-Old DTC Women’s Bag and Accessory Brand | $115 SDE | $5.5M Lifetime Rev | No Amazon Presence,https://quietlight.com/ecommerce-businesses-for-sale/,"$314,000","$797,640","$115,702",,QuietLight,Amazon FBA
3-Year Natural Skincare Brand | 80% Gross Margins | Made in the USA,https://quietlight.com/ecommerce-businesses-for-sale/,"$290,000","$370,106","$145,452",,QuietLight,Amazon FBA
18-Year-Old Fly Fishing eCommerce Site | $93K SDE | 3.1x Multiple,https://quietlight.com/ecommerce-businesses-for-sale/,"$288,000","$685,810","$93,146",,QuietLight,Amazon FBA
Premium Wristwatch Ecomm Business | 67% Net Profit Margins | Low Workload | High-Profile Collabs,https://quietlight.com/listings/16316699/,"$280,000","$174,850","$118,266",,QuietLight,Amazon FBA
18-Year-Old Established Custom Greeting Card Business | 60% Repeat Customer Rate | $525 AOV,https://quietlight.com/listings/17329259/,"$275,000","$353,903","$99,293",,QuietLight,Amazon FBA
Direct-To-Consumer Ecommerce Business at 1.95x Multiple | Numerous Potential Growth Opportunities,https://quietlight.com/ecommerce-businesses-for-sale/,"$266,245","$935,654","$136,536",,QuietLight,Amazon FBA
7-Year-Old Shopify Watch Accessory Brand | 33K Emails | $89K SDE,https://quietlight.com/ecommerce-businesses-for-sale/,"$250,000","$435,044","$89,505",,QuietLight,Amazon FBA
Turnkey Custom Sock Business With Loyal Customer Base | 38% Repeat Customer Rate | $330 AOV,https://quietlight.com/ecommerce-businesses-for-sale/,"$250,000","$490,479","$86,213",,QuietLight,Amazon FBA
Designer Eco-Friendly Kitchen Goods Business w/Loyal Base and Expansion Opportunities,https://quietlight.com/ecommerce-businesses-for-sale/,"$249,000","$369,818","$102,657",,QuietLight,Amazon FBA
16 Year-Old Beard Care Biz | Loads of Growth Opps | Sales Diversity Between Amazon & Website,https://quietlight.com/ecommerce-businesses-for-sale/,"$243,100","$216,622","$74,348",,QuietLight,Amazon FBA
9-Year Old Custom Ping Pong Paddles DTC Business | Massive Growth Opportunities | Easy to Operate,https://quietlight.com/ecommerce-businesses-for-sale/,"$240,000","$167,095","$71,554",,QuietLight,Amazon FBA
13+ Year Old Dropshipping Business With 156% YOY SDE Growth,https://quietlight.com/ecommerce-businesses-for-sale/,"$238,742","$397,941","$91,824",,QuietLight,Amazon FBA
Dropship Shopify Health Business | $1M+ Revenue | 35% SDE TTM Growth | U.S. Based Suppliers,https://quietlight.com/ecommerce-businesses-for-sale/,"$230,000","$1,317,935","$103,797",,QuietLight,Amazon FBA
