"source","name","price","revenue","profit","multiple","description","url"
"QuietLight","SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth","$2,031,460","$5,716,461","","0.36x","SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth Asking Price $2,031,460 Revenue: $5,716,461 Income: $615,594 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/"
"QuietLight","SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth","$2,031,460","$5,716,461","","0.36x","SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth Asking Price $2,031,460 Revenue: $5,716,461 Income: $615,594 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/5/"
"QuietLight","SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth","$2,031,460","$5,716,461","","0.36x","SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth Asking Price $2,031,460 Revenue: $5,716,461 Income: $615,594 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/7/"
"QuietLight","SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth","$2,031,460","$5,716,461","","0.36x","SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth Asking Price $2,031,460 Revenue: $5,716,461 Income: $615,594 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/6/"
"QuietLight","SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth","$2,031,460","$5,716,461","","0.36x","SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth Asking Price $2,031,460 Revenue: $5,716,461 Income: $615,594 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/4/"
"QuietLight","SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth","$2,031,460","$5,716,461","","0.36x","SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth Asking Price $2,031,460 Revenue: $5,716,461 Income: $615,594 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/3/"
"QuietLight","SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth","$2,031,460","$5,716,461","","0.36x","SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth Asking Price $2,031,460 Revenue: $5,716,461 Income: $615,594 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/9/"
"QuietLight","SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth","$2,031,460","$5,716,461","","0.36x","SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth Asking Price $2,031,460 Revenue: $5,716,461 Income: $615,594 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/10/"
"QuietLight","SBA Pre-Qualified | 3-Year-Old FBA Cleaning Products Biz | $451k SDE","$1,980,000","$1,416,262","","1.4x","SBA Pre-Qualified | 3-Year-Old FBA Cleaning Products Biz | $451k SDE Asking Price $1,980,000 Revenue: $1,416,262 Income: $451,463 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/8/"
"QuietLight","SBA Pre-Qualified | 3-Year-Old FBA Cleaning Products Biz | $451k SDE","$1,980,000","$1,416,262","","1.4x","SBA Pre-Qualified | 3-Year-Old FBA Cleaning Products Biz | $451k SDE Asking Price $1,980,000 Revenue: $1,416,262 Income: $451,463 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/2/"
"QuietLight","SBA Pre-Qualified | 3-Year-Old FBA Cleaning Products Biz | $451k SDE","$1,980,000","$1,416,262","","1.4x","SBA Pre-Qualified | 3-Year-Old FBA Cleaning Products Biz | $451k SDE Asking Price $1,980,000 Revenue: $1,416,262 Income: $451,463 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/"
"QuietLight","SBA Pre-Qualified | 3-Year-Old FBA Cleaning Products Biz | $451k SDE","$1,980,000","$1,416,262","","1.4x","SBA Pre-Qualified | 3-Year-Old FBA Cleaning Products Biz | $451k SDE Asking Price $1,980,000 Revenue: $1,416,262 Income: $451,463 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/5/"
"QuietLight","SBA Pre-Qualified | 3-Year-Old FBA Cleaning Products Biz | $451k SDE","$1,980,000","$1,416,262","","1.4x","SBA Pre-Qualified | 3-Year-Old FBA Cleaning Products Biz | $451k SDE Asking Price $1,980,000 Revenue: $1,416,262 Income: $451,463 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/7/"
"QuietLight","SBA Pre-Qualified | 3-Year-Old FBA Cleaning Products Biz | $451k SDE","$1,980,000","$1,416,262","","1.4x","SBA Pre-Qualified | 3-Year-Old FBA Cleaning Products Biz | $451k SDE Asking Price $1,980,000 Revenue: $1,416,262 Income: $451,463 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/6/"
"QuietLight","SBA Pre-Qualified | 3-Year-Old FBA Cleaning Products Biz | $451k SDE","$1,980,000","$1,416,262","","1.4x","SBA Pre-Qualified | 3-Year-Old FBA Cleaning Products Biz | $451k SDE Asking Price $1,980,000 Revenue: $1,416,262 Income: $451,463 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/4/"
